ID,Quality,Difficulty,Class_Name,Date_Taken,textbook,attendence,grade,take_again,credit,Tags,Comment
377637,4.0,3.0,COMP1213,"Jan 27th, 2008", No,,,,,[],Prof Eaton was a quite good as a professor if you really want to learn not only the material but life.
994289,4.0,3.0,BUS2023,"Oct 10th, 2009", Yes,,,,,[],"She is a good teacher, but her good looks can be a distraction."
377637,2.0,3.0,ENGII,"Jul 20th, 2004",,,,,,[],This is a man who has 4 degrees. He is above all that lives. If you dont like to sit and listen to unrelated materials then don't take this class.
377637,1.0,5.0,ENG1213,"Apr 4th, 2004",,,,,,[],WORST F****** PROF I HAVE EVER HAD! NEVER TAKE THIS MANS CLASS EVER! HE DOESN'T HELP YOU AT ALL HE DOESN'T EVEN TEACH THE CORRECT COMP II MATERIAL. I COULD DO A BETTER JOB. RUN FAR FAR AWAY. EVERY STUDENT IN BOTH OF CLASSES ARE TALKING TO THE DEEN.
995406,5.0,2.0,CS2713,"May 3rd, 2017", No, Not Mandatory, A, Yes, Yes,"['GIVES GOOD FEEDBACK', 'ACCESSIBLE OUTSIDE CLASS', 'CLEAR GRADING CRITERIA']",Great teacher. Shows real respect to students. Used testout online course.
995406,4.0,3.0,CS2713,"Aug 20th, 2015", Yes,, B,, Yes,[],Prof. Heitkamper lines out his expectations for what needs to be done within the first week of class. There isn't a day of down time unless you finish you work early or have a knack for the material. Prepare yourself for longchallenging tests and homework that isn't hard but can take awhile to do. He does offer extra credit and has guides to help.
995406,1.5,5.0,CS2713,"Feb 15th, 2014", No, Mandatory, Not_Sure_Yet,, Yes,[],"Took the first test. Ch.1-3. Each chapter had a review quiz at the end, and the professor gave an extra credit quiz this week over all. He allowed a 4x7 card front and back. Spent about 8 hours studying and writing out my card. There were 8 questions out of 69 on the study material. Would have been better to have read the book."
995406,5.0,1.0,CS0000,"May 1st, 2012", Yes,,,,,[],"Ive had Mr Heitkamper for 3 classes. He has been my favorite teacher! Very easy to talk to, and willing to help anytime you need it. I highly recommend taking anything he is teaching!"
995406,5.0,1.0,CS1103,"Dec 14th, 2010", Yes,,,,,[],all i can say is this class was easy and fun! he is an easy going teacher! and i learned a lot!!
995406,4.5,3.0,CS0000,"Feb 18th, 2010", No,,,,,[],Great Teacher! If you need help after class IE 9pm he will be there to help anyway possible.
995406,3.5,2.0,CS2713,"Dec 8th, 2009", Yes,,,,,[],"Prof Heitkamper does his best to give you the information on the test without actually giving you the exam. As for the homework ""MAKE AN EFFORT"" and you should have no problem. You will have to put some time in to study for the exam."
995406,5.0,1.0,CS1103,"Apr 11th, 2009", Yes,,,,,[],"His a good professor willing to help you if you need help, very easy class if you have some computer skills, the tutorials are boring, but helpful. Good class if you want to have good basic computers skills. Test are not hard at all, take this class if you want on A"
995406,5.0,2.0,CS1103,"May 23rd, 2007", Yes,,,,,[],He is extremely helpful and he treats everyone the same; he has no hidden agendas. He's great!
96142,5.0,2.0,ENG1213,"Feb 25th, 2016", Yes,, A+,, Yes,[],"Professor Charlson is WONDERFUL. I have taken his class now twice and made an A in both (Honors Comp 1 and 2) He explains his assignments clearly and in good detail. If you still don't understand, he will be happy to help you. He is also open for group discussion. Highly recommend taking his class!"
96142,4.5,3.0,LS0023,"Sep 2nd, 2009", Yes,,,,,[],If you want to learn he will teach you. Most people who attend just want to pass so they can take the next class. I wanted to learn. Great teacher he will go the extra mile.
713912,4.5,1.0,HIST1493,"Dec 2nd, 2010", No,,,,,[],"What an awesome professor! It took a couple of weeks for me to warm up to him but once I did I found his class very interesting. He knows we are not history majors and we could care less about the subject so he tells stories in a ""sum it up"" manor that makes it easy to follow. I never used the book, he always let us out early and he dropped 3 tests"
96142,5.0,2.0,ENGL1113,"Jul 6th, 2009", No,,,,,[],"He was always very clear when getting points across. The class can get on to some 'hot' topics, which is a lot of fun somtimes. Overall good class, but beware, stay on his good side..."
713912,5.0,1.0,HIST101,"Aug 17th, 2010", No,,,,,[],"History Post Civil War. Best teacher yet. He's best for both types of students. For the kids who want an easy class, this is your class. As long as you take the tests, you'll pass with a C, regardless of the grades you make. If you actually want to learn something, he's your man. Very knowledgeable and gives good lectures. Very interactive a"
96142,4.0,2.0,ENGL1113,"May 21st, 2009", No,,,,,[],helpful i hate essay the final essay helped me alot always go tot the comp lab before turning in ur paper well go a few times if possible never really used the book
995733,4.0,3.0,PHIL1013,"Jun 2nd, 2014", Yes,,,,,[],"A great professor humorous and very lenient. The quizzes are VERY hard, open book, but that didn't even help. He did end up curving them though, because we all made such bad grades on them. other than the quizzes, the rest of his class is a breeze."
995733,3.5,3.0,PHIL1013,"Dec 18th, 2011", Yes,,,,,[],"Roberts is a really funny guy, he should be a comedian rather than a teacher. He is okay as a teacher, but things can go WAY off topic, which is okay but it wouldn't hurt for things to go on schedule. Other than that, you'll have a fun time in his class, there will be great laughs that's for sure. Also MAKE SURE YOU READ THE CHAPTERS!!VERY VITAL!!!"
713912,5.0,1.0,HST1213,"Mar 13th, 2010", Yes,,,,,[],"He was funny as hell, but still relayed a lot of important information. His class is really easy, but still leaves you equipped with the knowledge you neeed to succeed. Great teacher."
96142,5.0,1.0,ENGL1112,"Jan 21st, 2009", Yes,,,,,[],He is a great teacher. I loved his class.
995733,1.5,4.0,PHIL1013,"Dec 15th, 2011", Yes,,,,,[],I took his philosophy class online. This professor was extremely unhelpful--took a long time (5 days+) to answer e-mails; sometimes didn't even bother. His syllabus had discrepancies and caused confusion. There is an incredible amount of work involved in this class for only 3 credit hours. Do not recommend this professor.
713912,5.0,1.0,HIST1483,"Dec 22nd, 2009", Yes,,,,,[],"His class was soooooooooo easy that if you don't make an A, you ought to quit school!"
96142,4.5,4.0,ENGL1213,"Dec 11th, 2008", Yes,,,,,[],"I took Professor Charlson?s English Comp. II online class. It was a very demanding class, but professor Charlson helped me out a lot. I never met him in person, but I felt like I knew him on a personal level. He always encouraged me and gave me suggestions on how to improve my writing. The class consists of 4 major essays. I think it also had somew"
995733,3.0,5.0,PHIL1013,"Feb 7th, 2010", Yes,,,,,[],"The teacher is fun and I enjoy being in the class. However, I don't feel I learned anything in the class to help me with the tests. The tests cover 200+ pages. The tests are open book but didn't find it to be much help. Appox 20-25 questions worth 100 pts..Finding the answer is like find a needle in a haystack."
995733,4.5,3.0,PHIL1013,"Oct 7th, 2009", Yes,,,,,[],"Pretty cool teacher, real funny. Taking his Intro to Philosophy course, and he is a pretty easy to understand teacher. One downside is that there is tons of textbook use, exams cover about 200+ pages, other then that he is pretty cool."
713912,5.0,2.0,HIST0,"Dec 2nd, 2009", No,,,,,[],He is a very good teacher that is really intresting. Go to class and you will get an A. He does a test every week not much studying and no homework!
96142,3.0,4.0,ENGL1213,"Nov 16th, 2008", Yes,,,,,[],"Mr Charlson has double standards when it comes to writting, I am confused on each and every essay assignment. I read my book and even research argument writing and when I think I have gotten the format, It somehow is wrong to him. He is very hard to follow."
96142,5.0,2.0,ENG1213,"Mar 14th, 2008", Yes,,,,,[],Professor Charlson was a FABULOUS teacher! He always responded promptly to my emails (my class was on-line) and his encouraging words regarding my essays gave me a huge amount of confidence to continue writing from the heart. This professor is fantastic! Get him as your insstructor if possible!
995733,4.0,4.0,PHIL1013,"May 23rd, 2007", Yes,,,,,[],"Philosophy online. Interesting class, challenging and pretty tough course though. I liked prof. Roberts but found it a little strange he used a fake student to run around harassing the real students. You will learn some good idealogy if you can just get past the weirdness.... which at the end of the day, I couldnt."
713912,4.5,3.0,HIST1493,"Jul 26th, 2009", Yes,,,,,[],"He is a great teacher, very helpful if you ask questions. You must not miss class and if you want an A you should read the chapters as well as take notes. His tests are from both the lecture and the book, read the questions carefully sometimes he throws curveballs. Extra credit is totally worth doing."
96142,5.0,2.0,ENGL1113,"Oct 25th, 2007", No,,,,,[],"Professor Charlson is the best professor EVER! He is so sweet and couldn't harm a fly! He is also funny and makes class interesting. He is an all around good guy! If you want a professor that is easy, helpful, and nice then get into his class!!!!!!"
713912,4.0,1.0,HIST1113,"May 4th, 2009", No,,,,,[],Mr Such is an awesome professor. His classes are interesting and super easy. You just need to show up and half way try and you'll pass! He's a nice and funny guy. He teaches you a lot and tells you some funny and interesting facts! He's one of OCCC's best professors!I had him in History before 1865. Take his class before he retires!
96142,5.0,1.0,COMP2,"Jul 16th, 2006",,,,,,[],Mr.Charlson was a GREAT teacher. He made everything clear and well detailed. His class was defintiely an easy A.
713912,5.0,1.0,HIST1493,"Nov 24th, 2008", Yes,,,,,[],HE IS THE BEST.Take his class.He makes history very interesting. Most of the students will recommend him.
96142,5.0,1.0,ENGL1213,"May 13th, 2006",,,,,,[],"Mr. Charlson is a super teacher! I was terrified of having to write four 8-page essays but Mr. Charlson lets you get by with essays of 400-500 words and I like that. It's obvious he's a Democrat but I like the class discussions, sometimes they get heated. I loved this class, and I got an A. Mr. Charlson knows his stuff!"
713912,5.0,1.0,HIST1493,"Nov 18th, 2008", Yes,,,,,[],Very helpful professor. Gives you everything you will need to pass your exams. One test is done verbally with assistance from your other classmates if you happen to be wrong.
96142,4.5,1.0,ENG1113,"Nov 4th, 2005",,,,,,[],"I loved that class! The only thing i can think that i didn't like was that he had no excitment in his voice and it seemed kind of boring, but when we got in to some political issues the class became a whole lot more interesting"
713912,5.0,2.0,HISTPOST,"Jan 16th, 2007", Yes,,,,,[],He's a very nice guy. Class was boring but pretty easy. I made a B and didn't ever read. Just go to class and listen to the reviews he gives before the tests. He will even give answers and somehow people still miss the questions...i don't know why?.... I felt like he emphasized politics a little too much but overall a good class. I recommend him!
96142,5.0,3.0,COMMII,"Oct 14th, 2005",,,,,,[],the essays are hards but is a good teacher
713912,5.0,2.0,HIST1493,"Jan 9th, 2007", Yes,,,,,[],He is a good professor! You do have to read the book. Take good notes and read and you will do fine.
713912,4.5,3.0,HIST,"May 22nd, 2006",,,,,,[],"His class is fun, he is very knowledgible. You can hear many interesting things that are not in text book. He is helpful to students. Only you need spend a lot of time to get a high score. He likes test some details in the textbook even he does not cover in class. If you just want to get a C, just attend each test. His class makes you like history"
96142,4.0,2.0,ENGLISH,"Aug 31st, 2005",,,,,,[],"Aug 31st, 2005"
96142,5.0,2.0,ENGLISH1113,"Aug 30th, 2005",,,,,,[],"This is a real college class where you are allowed to discuss real topics as real adults. Without Charlson, I wouldn't be on the golden path I am now on."
713912,1.0,5.0,HISTORY,"Mar 27th, 2006",,,,,,[],he is not very clear when he lectures and does not give you enough information to study for quizes. i do not recommend his class.
96142,5.0,3.0,ENGL1113,"Oct 27th, 2004",,,,,,[],"Professor Charlson is an excellent English teacher. He works with students and cares about them. I would recommend his class to anyone. Charlson's English class helped me to determine my major, at last!"
713912,5.0,2.0,PRECIVILWAR,"Feb 10th, 2006",,,,,,[],"He is very clear and always tries to make the material very clear, so you know what to study for."
96142,5.0,3.0,ENGLIT,"Nov 8th, 2003",,,,,,[],He is very laid back and helpful. He likes uniqueness and is inspiring.
713912,5.0,1.0,HISTORY,"Jan 5th, 2006",,,,,,[],I loved his class....He is always willing to help and listen to his students...You learn a lot in his class and he makes the subject interesting
96142,5.0,3.0,ENGLISH,"Mar 3rd, 2003",,,,,,[],Students who do badly in this class just do not do the work. Great teacher!!
96142,1.0,4.0,ENGL,"Mar 2nd, 2003",,,,,,[],He's boring and I think he makes things up as he goes. Everything he taught me had to be corrected in the next english class I took.
713912,3.5,2.0,HISTORY,"Dec 8th, 2005",,,,,,[],"Dec 8th, 2005"
998071,5.0,4.0,PSYCH1113,"Dec 16th, 2010", Yes,,,,,[],"Although her lectures can get a little boring, she really is a great professor. She explains things in a way that are understandable. She gives her Power Points as notes and uses a study guide for each test. The tests can be hard, but as long as you listen and study you will do fine. She is easy to work with and even bumped my final grade up since"
96142,1.0,2.0,ENG1011,"Feb 27th, 2003",,,,,,[],"Feb 27th, 2003"
713912,5.0,2.0,POSTCIVILWAR,"Nov 9th, 2005",,,,,,[],He has a great attitude and is very interesting. Multiple choice tests that are fairly easy if you study some.
998071,4.5,4.0,PSY2743,"Jun 23rd, 2010", Yes,,,,,[],"Attendance was required, but you were allowed to miss a few classes and it not count against you. To all of you complaining about having to go to class, it's college, you paid for it, GO! She was very helpful, gave EC and stayed after class to go over study guides. While she hands out the PP, she gives other info that is interesting in her lecture"
998071,2.5,4.0,PSY1103,"Aug 19th, 2009", Yes,,,,,[],So boring. I hated sitting through her class but she grades on attendance. You have to outline every chapter. She reads her slides in class but she prints them off and gives them to you. I ended this class with an A.
998071,2.5,4.0,PSYCH2403,"Jul 13th, 2009", Yes,,,,,[],"she makes you sign in and sign out for attendance.its a large part of your grade. She reads off of her slides and prints them for you, and forces you to be there to listen.Her tests are at least 75 questions and they are over detail and not concepts. There will be 3 possible answers. majority made a D on tests."
998071,3.0,3.0,PSYCH1113,"May 14th, 2008", Yes,,,,,[],"She was extremely interested in your success in the class, which is the reason that I would recommend her. She gave plenty extra credit. I showed to class, retrieved the study guide and went home. She isn't really helpful in her lectures but her study guides are very helpful. I passed with an A."
998071,1.0,3.0,PSY1113,"Oct 30th, 2007", Yes,,,,,[],"Amazingly useless. She gets a lot of her information wrong, she gives you power points of her notes for the test, which would make it easier except they don't have the information on the test. Just take her review sheets and study off of the book, you should get an A."
723131,5.0,2.0,PSY1311,"Feb 5th, 2010", Yes,,,,,[],"I looked forward to his class everyday. Used GREAT examples to help me understand the material. I got an A in his class. I am now a psych major, one year later in my 3rd psych course. I miss his class so much!"
723131,4.0,1.0,PSY1113,"Jan 21st, 2010", Yes,,,,,[],"Dr. French is an amazing teacher!!....he takes as much stress out of the class as possible...I was absolutely dreading psychology, but he made it fun.....Tip-be sure to be in class on the test review days! =)"
723131,5.0,2.0,PSYCH1113,"Nov 10th, 2009", Yes,,,,,[],Awesome teacher; Great teaching style; Makes class fun and interesting. Crystal clear about expectations & assignments; Just pay attention especially during test reviews. You can't go wrong
723131,5.0,2.0,INTRO1113,"Nov 9th, 2009", Yes,,,,,[],Absolutely AWESOME teacher!!
723131,4.5,1.0,PSYC1113,"Jun 15th, 2009", Yes,,,,,[],He was great. Fun class
723131,4.0,1.0,PSY1113,"Apr 30th, 2009", Yes,,,,,[],Easiest teacher ever
723131,5.0,1.0,PSY1113,"Apr 24th, 2009", Yes,,,,,[],"THIS IS A FUUUUUUUUUUUN CLASS! DR FRENCH MADE PSYCHOLOGY FUN. I REALLY ENJOYED THE PROJECTS HE ASSIGNED. HE KNOWS HOW TO INTERACT WITH HIS CLASS. . .IF I WAS GOING TO MAJOR IN PSYCHOLOGY I WOULD, WITHOUT A DOUBT, TAKE HIS CLASSES. YOU ROCK FRENCHY!!"
723131,4.5,3.0,PSY1113,"May 4th, 2008", Yes,,,,,[],"Pay attention or else you would totally lose sight of what you were studying. He is helpful but be carefull. I did make an A, so it wasn't that bad, I just hated having to teach a chapter on something I just read about."
723131,5.0,1.0,PSY1113,"Jan 25th, 2008", Yes,,,,,[],Great professor!! Learned a lot without stressing. Very nice and funny.
723131,4.0,2.0,PSY1113,"Oct 13th, 2007", Yes,,,,,[],Very funny prof...He gets all of the class involved in a fun way.As far as test goes he lets you know what to study.he makes test easy.
723131,5.0,2.0,PSYC1113,"Jan 25th, 2007", Yes,,,,,[],"Jan 25th, 2007"
723131,4.5,2.0,PSY1113,"Dec 16th, 2005",,,,,,[],He made psy. so much fun.He taught in group discussion so it wasn't like some boreing prof. lecturing alllll day! His tests were prety simple if you came to class and listened durring test reviews.He was also very funny. http://switchtextbooks.com/index.aspx?Referal=CISW9CQ3
382074,5.0,4.0,BIO1113,"Aug 4th, 2016", No, Mandatory, A, Yes, Yes,[],"Great professor! She is very helpful and makes class enjoyable. Great class lectures, goes over everything that will be on test."
