link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/132940,Madeline Baugher,Southwestern Oklahoma State University,Computer Science,3.2,2.8,N/A
https://www.ratemyprofessors.com/professor/138265,Jody Maness,Southwestern Oklahoma State University,Biology,2.2,4.1,50%
https://www.ratemyprofessors.com/professor/163241,Les Crall,Southwestern Oklahoma State University,Business,4.2,3.6,N/A
https://www.ratemyprofessors.com/professor/177833,James Silver,Southwestern Oklahoma State University,English,4.3,1.8,100%
https://www.ratemyprofessors.com/professor/177834,Victoria Gaydosik,Southwestern Oklahoma State University,Literature,3.9,2.5,50%
https://www.ratemyprofessors.com/professor/177836,Roger Bromert,Southwestern Oklahoma State University,History,4.2,3,N/A
https://www.ratemyprofessors.com/professor/177838,Kelly Logan,Southwestern Oklahoma State University,English,3.9,3.3,100%
https://www.ratemyprofessors.com/professor/177848,Robin Jones,Southwestern Oklahoma State University,Theater,4.2,1.6,100%
https://www.ratemyprofessors.com/professor/177849,Michael Dougherty,Southwestern Oklahoma State University,Mathematics,3.5,3.3,100%
https://www.ratemyprofessors.com/professor/178286,Mike Wolff,Southwestern Oklahoma State University,Psychology,4.4,2.6,100%
https://www.ratemyprofessors.com/professor/178287,Harry Nowka,Southwestern Oklahoma State University,Economics,4.1,1.5,N/A
https://www.ratemyprofessors.com/professor/178288,Jane Long,Southwestern Oklahoma State University,English,3.4,2.3,N/A
https://www.ratemyprofessors.com/professor/178289,Paula Price,Southwestern Oklahoma State University,Music,3.2,2.7,N/A
https://www.ratemyprofessors.com/professor/178695,John Hayden,Southwestern Oklahoma State University,History,4.6,2.3,100%
https://www.ratemyprofessors.com/professor/178972,James South,Southwestern Oklahoma State University,Music,4.8,1.7,N/A
https://www.ratemyprofessors.com/professor/179030,Arden Aspedon,Southwestern Oklahoma State University,Health Science,4.0,3.1,N/A
https://www.ratemyprofessors.com/professor/179090,Mark Tippin,Southwestern Oklahoma State University,Business,3.3,3.9,N/A
https://www.ratemyprofessors.com/professor/179149,Gerard East,Southwestern Oklahoma State University,Mathematics,4.5,2.9,N/A
https://www.ratemyprofessors.com/professor/179209,Sue Ball,Southwestern Oklahoma State University,Biology,4.0,3.7,100%
https://www.ratemyprofessors.com/professor/179379,Chad Kinder,Southwestern Oklahoma State University,Physical Ed,5.0,1.7,N/A
https://www.ratemyprofessors.com/professor/179382,Linda Hertzler-Crum,Southwestern Oklahoma State University,Languages,4.9,2.1,N/A
https://www.ratemyprofessors.com/professor/179783,Kenneth Tillett,Southwestern Oklahoma State University,Political Science,4.6,2.1,N/A
https://www.ratemyprofessors.com/professor/179838,Gary Wolgamott,Southwestern Oklahoma State University,Health Science,3.7,3.8,N/A
https://www.ratemyprofessors.com/professor/179857,Philip Holley,Southwestern Oklahoma State University,Criminal Justice,2.9,4,N/A
https://www.ratemyprofessors.com/professor/179861,James Hunsicker,Southwestern Oklahoma State University,Psychology,4.4,3.3,100%
https://www.ratemyprofessors.com/professor/179927,Helen Maxson,Southwestern Oklahoma State University,English,4.5,2.6,100%
https://www.ratemyprofessors.com/professor/179939,Jason Johnson,Southwestern Oklahoma State University,Chemistry,4.5,3.2,100%
https://www.ratemyprofessors.com/professor/180076,Michael Deimling,Southwestern Oklahoma State University,Pharmaceutical Sciences,3.4,3.3,N/A
https://www.ratemyprofessors.com/professor/181756,Valerie Reimers,Southwestern Oklahoma State University,English,4.5,1.7,N/A
https://www.ratemyprofessors.com/professor/181990,Bill Sticka,Southwestern Oklahoma State University,Mathematics,2.5,3.5,N/A
https://www.ratemyprofessors.com/professor/182862,Dennis Widen,Southwestern Oklahoma State University,Music,4.6,2.1,N/A
https://www.ratemyprofessors.com/professor/185686,Ann Russell,Southwestern Oklahoma State University,Education,3.0,3.7,0%
https://www.ratemyprofessors.com/professor/186266,Viki Craig,Southwestern Oklahoma State University,English,4.4,2.6,N/A
https://www.ratemyprofessors.com/professor/188430,Bill Seibert,Southwestern Oklahoma State University,Biology,4.4,2.1,100%
https://www.ratemyprofessors.com/professor/193674,Peter Grant,Southwestern Oklahoma State University,Biology,2.7,4.4,N/A
https://www.ratemyprofessors.com/professor/203354,Susan Al-Jarrah,Southwestern Oklahoma State University,Languages,5.0,2,N/A
https://www.ratemyprofessors.com/professor/205582,Geneva Capps,Southwestern Oklahoma State University,Languages,2.5,2.4,N/A
https://www.ratemyprofessors.com/professor/233160,William Kelly,Southwestern Oklahoma State University,Chemistry,3.2,3.5,50%
https://www.ratemyprofessors.com/professor/234341,Patti Perkins,Southwestern Oklahoma State University,Education,3.7,2.3,N/A
https://www.ratemyprofessors.com/professor/234976,Harpal Dhillon,Southwestern Oklahoma State University,Computer Science,2.4,2.4,0%
https://www.ratemyprofessors.com/professor/244728,Eithel Simpson,Southwestern Oklahoma State University,Marketing,2.8,1.7,N/A
https://www.ratemyprofessors.com/professor/246119,Carroll Les Ramos,Southwestern Oklahoma State University,Health Science,4.9,2.8,N/A
https://www.ratemyprofessors.com/professor/263189,Dick Kurtz,Southwestern Oklahoma State University,Engineering,3.8,2.3,N/A
https://www.ratemyprofessors.com/professor/267081,Roberto Rivera,Southwestern Oklahoma State University,Mathematics,3.6,2.1,40%
https://www.ratemyprofessors.com/professor/267090,David Esjornson,Southwestern Oklahoma State University,Chemistry,3.7,3,84%
https://www.ratemyprofessors.com/professor/267091,Mehdi Raoufi,Southwestern Oklahoma State University,Computer Science,3.9,2.9,N/A
https://www.ratemyprofessors.com/professor/275032,Ryan Haggard,Southwestern Oklahoma State University,Physical Ed,4.5,1.5,100%
https://www.ratemyprofessors.com/professor/307737,Charles Rogers,Southwestern Oklahoma State University,Physics,2.6,3.7,N/A
https://www.ratemyprofessors.com/professor/321360,Kim Kelly,Southwestern Oklahoma State University,Education,4.8,2.3,100%
https://www.ratemyprofessors.com/professor/335869,Warren Moseley,Southwestern Oklahoma State University,Computer Science,4.1,1.4,N/A
https://www.ratemyprofessors.com/professor/353657,Tony Stein,Southwestern Oklahoma State University,Physics,3.1,2.6,100%
https://www.ratemyprofessors.com/professor/361686,Lisa Appeddu,Southwestern Oklahoma State University,Health Science,4.2,2.1,N/A
https://www.ratemyprofessors.com/professor/384473,Robbie Mccarty,Southwestern Oklahoma State University,Chemistry,2.5,3.4,N/A
https://www.ratemyprofessors.com/professor/437300,Pat Meyer,Southwestern Oklahoma State University,Nursing,0.0,0,N/A
https://www.ratemyprofessors.com/professor/477909,Rita Hays,Southwestern Oklahoma State University,Accounting,4.1,2.3,100%
https://www.ratemyprofessors.com/professor/508844,Marci Grant,Southwestern Oklahoma State University,Marketing,3.2,3.9,N/A
https://www.ratemyprofessors.com/professor/523376,Steve Pray,Southwestern Oklahoma State University,Medicine,5.0,3,N/A
https://www.ratemyprofessors.com/professor/527704,Ron Koehn,Southwestern Oklahoma State University,Mathematics,3.3,3,100%
https://www.ratemyprofessors.com/professor/529138,Warren Akers,Southwestern Oklahoma State University,Mathematics,2.8,3.8,84%
https://www.ratemyprofessors.com/professor/561157,Jill Jones,Southwestern Oklahoma State University,English,3.8,2,0%
https://www.ratemyprofessors.com/professor/563339,Kristy Baker,Southwestern Oklahoma State University,Nursing,0.0,0,N/A
https://www.ratemyprofessors.com/professor/563340,Amy Barnett,Southwestern Oklahoma State University,Psychology,5.0,2,100%
https://www.ratemyprofessors.com/professor/563341,Randy Beutler,Southwestern Oklahoma State University,Social Science,5.0,1.4,100%
https://www.ratemyprofessors.com/professor/563343,Robert Chambers,Southwestern Oklahoma State University,Music,3.6,3.4,N/A
https://www.ratemyprofessors.com/professor/598555,Terry Goforth,Southwestern Oklahoma State University,Physics,3.8,3.1,50%
https://www.ratemyprofessors.com/professor/607810,Ruth Boyd,Southwestern Oklahoma State University,Education,3.5,1.5,0%
https://www.ratemyprofessors.com/professor/625594,Ronna Vanderslice,Southwestern Oklahoma State University,Education,5.0,2.4,N/A
https://www.ratemyprofessors.com/professor/632922,Jim Long,Southwestern Oklahoma State University,Business,2.4,3.4,N/A
https://www.ratemyprofessors.com/professor/634887,Marion Prichard,Southwestern Oklahoma State University,Health Science,4.0,2.3,N/A
https://www.ratemyprofessors.com/professor/690376,Vicki Hatton,Southwestern Oklahoma State University,Physical Ed,2.5,3,N/A
https://www.ratemyprofessors.com/professor/698563,Johnathan Stewart,Southwestern Oklahoma State University,Music,0.0,0,N/A
https://www.ratemyprofessors.com/professor/716849,Tim Hubin,Southwestern Oklahoma State University,Chemistry,4.7,2.3,100%
https://www.ratemyprofessors.com/professor/744071,Curt Woolever,Southwestern Oklahoma State University,Chemistry,3.1,3.9,N/A
https://www.ratemyprofessors.com/professor/751762,Jayme Correll,Southwestern Oklahoma State University,Psychology,4.0,1.9,N/A
https://www.ratemyprofessors.com/professor/779133,Fred Alsberg,Southwestern Oklahoma State University,Literature,3.9,1.7,100%
https://www.ratemyprofessors.com/professor/779398,Ralph May,Southwestern Oklahoma State University,Social Science,2.9,2.7,N/A
https://www.ratemyprofessors.com/professor/788168,Tom Worley,Southwestern Oklahoma State University,Political Science,0.0,0,N/A
https://www.ratemyprofessors.com/professor/797454,Mariana Hente,Southwestern Oklahoma State University,Computer Science,0.0,0,N/A
https://www.ratemyprofessors.com/professor/812137,Rahmat Talukder,Southwestern Oklahoma State University,Pharmacy,3.8,3.5,0%
https://www.ratemyprofessors.com/professor/835488,Kathy Wolff,Southwestern Oklahoma State University,Nursing,2.7,3.8,N/A
https://www.ratemyprofessors.com/professor/876695,Kelli Litsch,Southwestern Oklahoma State University,Physical Education,4.3,1.5,N/A
https://www.ratemyprofessors.com/professor/880257,Debbie Case,Southwestern Oklahoma State University,Education,5.0,1.8,100%
https://www.ratemyprofessors.com/professor/895808,Todd Parker,Southwestern Oklahoma State University,Art History,4.3,2,100%
https://www.ratemyprofessors.com/professor/938287,Carol Kish,Southwestern Oklahoma State University,Nursing,0.0,0,N/A
