link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/13337,Judith Lewis,University of Oklahoma,History,3.5,2.7,0%
https://www.ratemyprofessors.com/professor/13339,David Gross,University of Oklahoma,English,3.8,2.8,58%
https://www.ratemyprofessors.com/professor/13340,Carl Rath,University of Oklahoma,Music,4.8,1.3,N/A
https://www.ratemyprofessors.com/professor/27490,Jonathon Forman,University of Oklahoma,Law,3.0,3.8,N/A
https://www.ratemyprofessors.com/professor/49945,Kae Koger,University of Oklahoma,Fine Arts,4.8,2.6,N/A
https://www.ratemyprofessors.com/professor/58609,George Henderson,University of Oklahoma,Human Resources,4.9,2.1,100%
https://www.ratemyprofessors.com/professor/67538,Elyssa Faison,University of Oklahoma,History,3.3,3.8,50%
https://www.ratemyprofessors.com/professor/67544,Eve T. Bannet,University of Oklahoma,English,3.0,3,0%
https://www.ratemyprofessors.com/professor/67545,Vincent B. Leitch,University of Oklahoma,English,3.3,3.2,100%
https://www.ratemyprofessors.com/professor/67547,Daniel Cottom,University of Oklahoma,English,4.0,3.2,N/A
https://www.ratemyprofessors.com/professor/67549,Robert Con Davis-Undiano,University of Oklahoma,English,3.7,3.1,100%
https://www.ratemyprofessors.com/professor/67554,Joanna E. Rapf,University of Oklahoma,English,3.4,2.7,N/A
https://www.ratemyprofessors.com/professor/67555,Geary Hobson,University of Oklahoma,English,3.0,2.1,N/A
https://www.ratemyprofessors.com/professor/67557,Francesca Sawaya,University of Oklahoma,English,4.3,3.1,N/A
https://www.ratemyprofessors.com/professor/67563,Alan R. Velie,University of Oklahoma,English,4.2,3.2,N/A
https://www.ratemyprofessors.com/professor/67566,Kwadwo Kamau,University of Oklahoma,English,1.8,4.1,N/A
https://www.ratemyprofessors.com/professor/67569,Craig Womack,University of Oklahoma,English,3.9,2.8,N/A
https://www.ratemyprofessors.com/professor/67571,James Yoch,University of Oklahoma,English,3.7,3.9,100%
https://www.ratemyprofessors.com/professor/69455,Deborah Chester,University of Oklahoma,Journalism,4.4,2.8,50%
https://www.ratemyprofessors.com/professor/72806,Kenneth Hodges,University of Oklahoma,English,4.1,3.4,67%
https://www.ratemyprofessors.com/professor/85903,Lesley Rankin-Hill,University of Oklahoma,Anthropology,3.3,4,N/A
https://www.ratemyprofessors.com/professor/85906,Richard Pailes,University of Oklahoma,Anthropology,3.7,2.6,100%
https://www.ratemyprofessors.com/professor/94230,Jeffrey Purinton,University of Oklahoma,Philosophy,4.2,3.7,N/A
